rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
60,Latok IV,NE,1.679,1024.3,610.0,370.0,980.0,6372.9,6042.2,5017.8,1894.5,35.898456,75.868549
61,Tent Peak,N,1.673,1004.0,600.0,720.0,1320.0,7126.7,6960.4,5956.3,1354.3,27.797198,88.19554
62,The Crown,S,1.669,1001.7,600.0,880.0,1480.0,6978.2,6518.8,5517.1,1604.3,36.098658,76.207695
63,Yangra,W,1.668,1000.8,600.0,140.0,740.0,7327.5,7259.4,6258.5,2897.1,28.39148,85.122597
64,Bullah,W,1.654,1009.1,610.0,40.0,650.0,6225.6,6218.1,5209.0,2268.2,35.74412,75.922502
65,Yukshin Gardan Sar,NE,1.653,1008.3,610.0,890.0,1500.0,6809.5,5678.3,4670.0,2286.5,36.266816,75.385294
66,Janak Chulī,NW,1.646,1003.8,610.0,240.0,850.0,6938.9,6876.0,5872.2,1252.4,27.875048,88.086934
67,Sia Kangri,NE,1.644,1002.8,610.0,250.0,860.0,7376.1,7028.2,6025.4,2258.3,35.666486,76.765546
68,Makrong Chhish,N,1.643,1002.3,610.0,370.0,980.0,6515.8,6339.6,5337.3,1204.3,36.094374,75.12116
69,Skil Brum,SW,1.628,1009.6,620.0,250.0,870.0,7322.8,7153.1,6143.5,2095.6,35.848958,76.422639
70,Kruksum South,W,1.622,1005.7,620.0,220.0,840.0,6514.3,6422.3,5416.5,1335.2,35.81191,76.161371
71,Twins,N,1.616,1001.9,620.0,300.0,920.0,6353.0,6083.6,5081.7,1420.3,35.742686,76.582668
72,Chamlang,NW,1.613,1000.2,620.0,350.0,970.0,7210.1,7052.9,6052.7,2004.6,27.779659,86.975092
73,Gasherbrum I,NE,1.609,1013.8,630.0,1380.0,2010.0,7958.4,6919.9,5906.1,2810.1,35.735215,76.709672
74,Skyang Kangri,SW,1.606,1011.6,630.0,970.0,1600.0,7444.2,7155.9,6144.3,1495.6,35.918134,76.55742
75,Kharut Kangri,NE,1.605,1011.2,630.0,190.0,820.0,6768.3,6476.6,5465.4,1608.2,35.849002,76.591743
76,Yutmaru Sar,S,1.596,1005.6,630.0,150.0,780.0,7253.2,7109.4,6103.8,2336.6,36.222266,75.36724
77,Kanjut Sar II,W,1.593,1003.6,630.0,410.0,1040.0,6758.3,6382.6,5379.1,1875.2,36.14037,75.431965
78,Khani Basa Sar,NE,1.59,1001.9,630.0,90.0,720.0,6413.9,6364.4,5362.5,1114.6,36.168301,75.380355
79,Makalu,S,1.59,1001.6,630.0,830.0,1460.0,8069.6,7730.3,6728.7,2294.5,27.879577,87.08944
80,Tukuche Peak,NE,1.587,1000.1,630.0,530.0,1160.0,6852.2,6601.6,5601.5,1963.3,28.750917,83.563842
81,Far away,E,1.572,1006.3,640.0,520.0,1160.0,7292.9,6877.4,5871.1,2246.9,27.65566,88.138629
82,Urdok Kangri I,NE,1.57,1005.0,640.0,330.0,970.0,7153.4,6817.5,5812.5,2021.2,35.708858,76.734251
83,Unnamed Peak,N,1.569,1004.2,640.0,590.0,1230.0,6860.5,6105.6,5101.4,2537.6,35.228581,74.520815
84,Rimo I,W,1.569,1003.9,640.0,260.0,900.0,7207.2,7092.5,6088.6,1836.0,35.354573,77.361899
85,Chongtar Kangri,N,1.564,1000.9,640.0,90.0,730.0,7237.6,7232.3,6231.4,1327.9,35.92049,76.428218
86,Labuche Kang II,SW,1.561,1014.4,650.0,270.0,920.0,7089.1,7092.3,6077.9,1487.3,28.297684,86.379747
87,Ultar Peak,S,1.554,1010.2,650.0,150.0,800.0,7272.1,7219.3,6209.2,2077.5,36.386406,74.71682
88,Puthā Hiū Chuli̇̄,N,1.546,1004.7,650.0,820.0,1470.0,7125.1,6875.6,5870.9,1900.4,28.757483,83.14528
89,Lupghar Sar,E,1.545,1004.0,650.0,170.0,820.0,7144.1,7164.3,6160.3,1759.0,36.35067,75.042311
90,Bularung Sar,S,1.543,1003.1,650.0,800.0,1450.0,6933.1,6678.6,5675.5,2233.1,36.291988,75.134868
91,Uzun Brakk,N,1.541,1001.8,650.0,0.0,650.0,6110.5,6127.5,5125.7,1148.9,35.962001,75.700586
92,Lāṅṭāṅ Ri̇̄,SE,1.528,1008.5,660.0,90.0,750.0,7036.9,6959.4,5951.0,1468.0,28.379348,85.689532
93,Annapurna I,NW,1.52,1003.3,660.0,300.0,960.0,7897.9,7800.5,6797.2,2667.1,28.599649,83.815972
94,Nilgiri South,NW,1.503,1007.0,670.0,810.0,1480.0,6537.6,6360.2,5353.2,1860.8,28.662255,83.721522
95,Mt Hardinge,E,1.501,1005.8,670.0,0.0,670.0,7024.1,7027.1,6021.4,1532.6,35.632962,76.79328
96,Dhaulagiri,W,1.5,1005.3,670.0,2090.0,2760.0,8055.3,6267.0,5261.6,2824.5,28.69669,83.467735
97,Phola Gangchhen,E,1.499,1004.6,670.0,1140.0,1810.0,7408.6,6708.3,5703.7,1730.0,28.35519,85.824327
98,Ganesh II,SW,1.498,1003.8,670.0,300.0,970.0,6688.0,6712.1,5708.3,2412.2,28.37501,85.052085
99,Laila Peak,E,1.494,1001.3,670.0,270.0,940.0,6094.8,5966.2,4965.0,1168.6,35.106266,74.470102
100,Burnag Kangri,NE,1.493,1000.4,670.0,50.0,720.0,6633.2,6658.9,5658.5,1576.6,35.861541,76.835579
101,Lāduṅ Himāl,SW,1.486,1010.8,680.0,250.0,930.0,6600.3,6370.2,5359.5,2301.5,27.901556,86.438399
102,Passu Sar,NE,1.481,1007.2,680.0,530.0,1210.0,7575.1,7213.7,6206.5,2995.0,36.492432,74.600068
103,Gang Benchhen,W,1.479,1005.9,680.0,400.0,1080.0,7259.3,6900.9,5895.0,1753.9,28.55184,85.537472
104,Nilgiri North,N,1.479,1005.7,680.0,70.0,750.0,6959.9,6900.2,5894.5,2381.6,28.693709,83.74498
105,Dorle Pahāḍ,N,1.475,1003.0,680.0,330.0,1010.0,6695.0,6817.1,5814.1,1807.8,28.201519,85.80194
106,Annapurna III,SE,1.475,1002.8,680.0,0.0,680.0,7453.2,7429.0,6426.2,2502.1,28.582627,83.992469
107,Singhi Kangri,S,1.472,1001.1,680.0,100.0,780.0,7074.9,7135.9,6134.8,1638.1,35.595089,76.983214
108,Vigilance II,N,1.471,1000.3,680.0,460.0,1140.0,7567.9,7484.5,6484.2,1640.3,27.921239,87.07931
109,Pabil,NE,1.464,1010.0,690.0,850.0,1540.0,7041.1,6166.7,5156.7,2361.3,28.353384,85.088725
110,Dhaulagiri IV,NW,1.461,1008.2,690.0,470.0,1160.0,7613.6,7287.8,6279.6,2581.3,28.740936,83.308876
111,Mandu Kangri,NE,1.458,1006.1,690.0,100.0,790.0,6725.8,6613.3,5607.2,2064.1,35.651201,76.280739
112,Trango Ri,E,1.451,1001.4,690.0,110.0,800.0,6273.0,6223.4,5222.0,1929.8,35.78452,76.180902
113,Yāupā,NE,1.45,1000.8,690.0,60.0,750.0,6308.4,6290.2,5289.3,1801.2,27.839557,87.143889
114,Surukwat Kangri,N,1.45,1000.8,690.0,60.0,750.0,6700.0,6671.9,5671.1,1363.5,36.292387,76.38491
115,Kupultung Kung,S,1.442,1009.6,700.0,180.0,880.0,6276.6,6103.6,5094.0,1433.4,35.860751,75.05639
116,Malubiting,W,1.442,1009.1,700.0,290.0,990.0,7271.4,7247.5,6238.3,2529.9,36.0034,74.870693
117,Pungpa Ri,NE,1.438,1006.8,700.0,220.0,920.0,7386.2,7256.9,6250.2,1411.5,28.336717,85.798453
118,Ngozumpa Kang I,NE,1.433,1003.2,700.0,760.0,1460.0,7826.5,7657.6,6654.3,1624.8,28.113003,86.692143
119,Mazeno,S,1.431,1001.6,700.0,440.0,1140.0,7080.2,6571.5,5569.9,2242.8,35.220049,74.554629
120,Miar Peak,S,1.431,1001.5,700.0,780.0,1480.0,6443.5,5897.8,4896.3,2601.9,36.03728,74.826252
121,Broad Peak North,NW,1.426,1012.4,710.0,310.0,1020.0,7371.0,7242.3,6229.9,2279.7,35.83632,76.551136
122,Dhaulagiri II,NE,1.42,1008.1,710.0,720.0,1430.0,7731.5,7018.8,6010.7,2729.6,28.76983,83.39574
123,K12,SW,1.416,1005.7,710.0,130.0,840.0,7398.9,7315.2,6309.5,1680.5,35.292366,77.018093
124,Passu Sar,NE,1.416,1005.6,710.0,1210.0,1920.0,6743.4,6293.9,5288.3,2381.3,36.501483,74.657384
125,Langtang II,N,1.414,1018.3,720.0,240.0,960.0,6905.6,6736.1,5717.8,2115.1,28.265189,85.49848
126,Haramosh,W,1.414,1004.1,710.0,1840.0,2550.0,7306.7,6486.3,5482.2,2088.5,35.84001,74.873166
127,Gurja Himal,S,1.413,1002.9,710.0,130.0,840.0,7140.9,7042.9,6040.0,2559.8,28.670036,83.27543
128,Sangemarmur,NW,1.397,1006.2,720.0,150.0,870.0,6943.4,6894.8,5888.7,2582.8,36.429066,74.556177
129,Pethaṅtse,NW,1.391,1001.7,720.0,110.0,830.0,6637.1,6633.5,5631.8,1208.7,27.96035,87.01249
130,Trivor,SE,1.391,1001.4,720.0,510.0,1230.0,7584.0,7183.8,6182.4,2365.5,36.282714,75.090426
131,Annapurna South,NW,1.389,1014.2,730.0,320.0,1050.0,7117.6,6849.6,5835.5,2533.8,28.523738,83.801678
132,Cho Oyu,SW,1.387,1012.7,730.0,260.0,990.0,8036.4,7925.9,6913.2,1511.1,28.090073,86.6563
133,Gyachung Kang,NE,1.383,1009.6,730.0,750.0,1480.0,7926.5,7611.2,6601.6,1711.5,28.105234,86.752429
134,Rāthoṅ,S,1.383,1009.3,730.0,370.0,1100.0,6539.0,6128.2,5118.9,1558.3,27.586776,88.08815
135,Kānjirowā South,E,1.381,1008.5,730.0,1210.0,1940.0,6540.0,6166.0,5157.5,1874.0,29.37425,82.648606
136,Gangapurna,S,1.378,1006.0,730.0,340.0,1070.0,7405.3,7087.5,6081.5,1841.1,28.599056,83.96336
137,Himalchuli,SE,1.378,1005.9,730.0,350.0,1080.0,7850.0,7592.9,6587.0,1579.0,28.432481,84.644135
138,Chhaltis Brok,N,1.376,1004.6,730.0,490.0,1220.0,5930.1,5834.3,4829.7,1504.1,35.206774,76.69844
139,Unnamed Peak,NW,1.375,1003.5,730.0,20.0,750.0,6011.4,6012.4,5009.0,1504.7,36.029952,75.444802
140,Pāsāṅ Lhāmu Chuli̇̄,W,1.375,1003.4,730.0,90.0,820.0,6750.0,6718.6,5715.1,1498.1,28.06772,86.604918
141,Diran Peak,SE,1.363,1008.8,740.0,0.0,740.0,7112.0,7097.6,6088.8,1461.9,36.117906,74.66449
