rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
217,Thorungste,NW,1.076,1000.5,930.0,660.0,1590.0,6446.0,6189.1,5188.6,1880.1,28.817018,83.930654
218,Dome of Dirran,SW,1.076,1000.4,930.0,100.0,1030.0,5904.6,5880.1,4879.7,1522.3,36.086057,74.630352
219,Dorje Himāl,NE,1.072,1007.9,940.0,440.0,1380.0,6276.7,6046.0,5038.1,1598.9,28.17479,85.685127
220,Emerald Peak,W,1.062,1009.2,950.0,220.0,1170.0,6563.6,6490.4,5481.2,2307.0,36.058169,74.73345
221,Mango Gusor,NW,1.058,1004.9,950.0,1200.0,2150.0,6044.0,5732.9,4728.0,1753.8,35.587898,75.90472
222,Ganalo Peak,N,1.055,1002.0,950.0,100.0,1050.0,6553.0,6476.1,5474.1,2327.7,35.293625,74.554072
223,Tāṅgā,NW,1.048,1006.1,960.0,510.0,1470.0,6358.6,6063.0,5056.9,1452.6,27.758729,87.911684
224,Sarwali Peak,S,1.046,1004.5,960.0,230.0,1190.0,6290.7,6162.0,5157.5,1766.5,35.124976,74.435982
225,Chumik,W,1.029,1008.2,980.0,530.0,1510.0,6578.2,6420.0,5411.8,1687.5,35.208558,76.977438
226,Skyang Kangri,E,1.026,1005.4,980.0,1440.0,2420.0,7444.2,6616.9,5611.5,2084.3,35.92631,76.58891
227,Apsarasas Ⅲ,S,1.024,1003.8,980.0,130.0,1110.0,6939.9,6865.8,5862.0,1322.6,35.550409,77.128398
228,Hoṅku Chuli̇̄,E,1.023,1002.3,980.0,60.0,1040.0,6768.6,6706.0,5703.7,1096.0,27.81755,87.015106
229,Laila Peak,N,1.005,1004.7,1000.0,0.0,1000.0,5607.6,5616.9,4612.2,1112.2,35.598406,76.412599
230,Gama Sokha Lambi,W,1.005,1004.7,1000.0,1560.0,2560.0,6229.0,5843.2,4838.5,1552.3,35.75169,75.730218
231,Pāṅbuk,SE,1.003,1003.0,1000.0,0.0,1000.0,6531.2,6527.4,5524.4,1412.3,28.002559,86.523487
232,Lobsang,SE,0.995,1004.9,1010.0,120.0,1130.0,6131.8,6032.5,5027.6,1305.4,35.801043,76.313065
233,Drifika Peak,SW,0.995,1004.8,1010.0,350.0,1360.0,6367.8,6281.8,5276.9,1442.1,35.420319,76.451161
234,Ladyfinger Peak,W,0.991,1010.4,1020.0,1560.0,2580.0,5251.3,5222.9,4212.6,1318.6,36.37,74.626906
235,in Merra,NW,0.984,1003.8,1020.0,270.0,1290.0,6033.9,6086.4,5082.6,1728.8,27.745613,88.011252
236,Juto Sar,NE,0.966,1004.3,1040.0,80.0,1120.0,6736.1,6721.4,5717.1,1904.5,36.033744,74.869887
237,Haramosh,SE,0.965,1013.5,1050.0,230.0,1280.0,7306.7,7116.7,6103.2,1782.1,35.835206,74.903406
238,Kānjirowā Himāl,SE,0.963,1002.0,1040.0,740.0,1780.0,5951.4,6034.6,5032.6,1273.5,29.399913,82.715787
239,Apsarasas Kangri I,S,0.962,1000.1,1040.0,1390.0,2430.0,7176.3,6839.1,5839.0,1503.5,35.522083,77.149866
240,Nanga Parbat North Peak II,W,0.955,1012.6,1060.0,1720.0,2780.0,7744.7,7000.5,5987.9,1984.7,35.258814,74.565708
241,Patrali̇,NE,0.937,1002.4,1070.0,90.0,1160.0,6368.8,6392.8,5390.4,1307.8,29.424617,82.594018
242,Gama Sokha Lambi,NE,0.922,1005.3,1090.0,800.0,1890.0,6229.0,5662.9,4657.6,1826.3,35.760248,75.763547
243,Kangtega,SW,0.913,1013.0,1110.0,350.0,1460.0,6410.8,6273.6,5260.6,1706.8,27.786822,86.810512
244,Dongbar,W,0.911,1002.6,1100.0,980.0,2080.0,5821.4,5858.5,4855.9,1496.1,35.8123,75.858211
245,Labuche Kang,SW,0.911,1002.2,1100.0,510.0,1610.0,7145.6,7110.6,6108.4,1596.3,28.297295,86.343092
246,Saturday,E,0.909,1008.7,1110.0,1650.0,2760.0,6543.2,5550.0,4541.3,2107.9,28.49838,85.178939
247,Yazghil Dome S,SW,0.908,1008.1,1110.0,1220.0,2330.0,7386.0,6878.1,5870.1,1933.9,36.296746,75.217719
248,Choricho,NW,0.908,1007.5,1110.0,1160.0,2270.0,6546.3,6472.1,5464.6,1401.8,35.739587,76.075175
249,Jannu,SW,0.904,1003.8,1110.0,1720.0,2830.0,7053.1,6510.1,5506.3,1681.6,27.667645,88.027901
250,Baltoro Kangri,N,0.891,1007.1,1130.0,1850.0,2980.0,7162.9,6305.9,5298.7,1871.2,35.668631,76.66436
251,Kabru,W,0.886,1001.6,1130.0,1110.0,2240.0,7237.2,7082.0,6080.4,1659.7,27.61617,88.099378
252,Unnamed Peak,W,0.886,1001.3,1130.0,1040.0,2170.0,6498.7,6302.5,5301.3,1506.5,35.227206,74.481445
253,Ilford Peak,NW,0.88,1012.4,1150.0,70.0,1220.0,6021.3,6002.3,4989.9,1273.6,35.348931,76.485344
254,Shishapangma,W,0.863,1009.6,1170.0,940.0,2110.0,7861.7,7356.1,6346.6,1941.8,28.35398,85.762503
255,Gateway Peak (P6880),E,0.856,1002.0,1170.0,800.0,1970.0,6787.2,6250.4,5248.4,1594.3,36.22295,75.315283
256,Rakaposhi,NW,0.85,1003.4,1180.0,1800.0,2980.0,7582.9,6652.7,5649.3,1943.2,36.157727,74.471121
257,Palung Ri,N,0.85,1002.7,1180.0,60.0,1240.0,6977.4,6966.1,5963.4,1192.4,28.134879,86.64479
258,Saltoro Kangri I,SE,0.845,1005.1,1190.0,1750.0,2940.0,7668.9,6975.7,5970.7,1732.0,35.384309,76.867254
259,Bobisghir,NW,0.843,1003.5,1190.0,980.0,2170.0,6128.4,6183.9,5180.3,977.4,36.031251,75.82021
260,Yazghil Dome S,E,0.843,1003.5,1190.0,1130.0,2320.0,7386.0,7129.8,6126.3,1324.4,36.30804,75.25094
261,Ngadi Chuli,NE,0.843,1002.9,1190.0,1100.0,2290.0,7775.1,7192.4,6189.6,2030.7,28.513575,84.578442
262,Pisang Peak,NE,0.835,1002.2,1200.0,700.0,1900.0,5980.0,5784.4,4782.2,2021.9,28.655482,84.19395
263,Lukpe Lawo Brakk,SE,0.821,1001.8,1220.0,1290.0,2510.0,6114.2,6431.6,5429.8,773.7,36.118261,75.611383
264,Mango Gusor,NE,0.813,1007.6,1240.0,1690.0,2930.0,6044.0,5660.0,4652.3,1447.3,35.591938,75.935842
265,Shishapangma,NE,0.811,1006.2,1240.0,1430.0,2670.0,7861.7,7115.6,6109.4,1895.9,28.367024,85.792867
266,Snow Dome,N,0.794,1000.8,1260.0,40.0,1300.0,6939.3,6945.2,5944.5,1819.9,35.618868,76.597968
267,Ladyfinger Peak,SE,0.789,1001.7,1270.0,1330.0,2600.0,5251.3,4569.4,3567.7,1835.6,36.357497,74.665501
268,Mazar,NW,0.775,1000.3,1290.0,0.0,1290.0,6249.0,6262.2,5262.0,1021.9,36.483378,76.854739
269,Uli Biaho Tower,E,0.76,1002.9,1320.0,1190.0,2510.0,5599.8,5174.7,4171.8,1640.1,35.740565,76.168408
270,Langpo Peak,N,0.759,1002.1,1320.0,790.0,2110.0,6489.4,6707.2,5705.1,967.8,27.863048,88.2
271,Kyuṅgāri̇̄,SE,0.751,1006.3,1340.0,0.0,1340.0,6293.7,6291.3,5285.0,1225.0,28.292257,85.675283
272,Purian Sar,SW,0.747,1000.8,1340.0,1500.0,2840.0,6063.3,5956.9,4956.1,1111.5,36.452905,74.084377
273,Malunguttil Sar,W,0.743,1003.1,1350.0,820.0,2170.0,7035.2,6736.9,5733.8,1652.9,36.365154,75.130754
274,yak Gawa,NW,0.716,1002.9,1400.0,0.0,1400.0,6383.2,6413.1,5410.2,1512.3,28.782944,83.913217
275,Sinu Chuli,SW,0.701,1010.0,1440.0,300.0,1740.0,6340.2,6237.3,5227.4,1731.7,28.5808,83.875641
276,Dhampus Peak,E,0.696,1001.9,1440.0,800.0,2240.0,5952.4,5963.2,4961.3,1366.6,28.7979,83.620852
277,Changzheng,SW,0.68,1006.5,1480.0,420.0,1900.0,6729.6,6615.9,5609.4,1182.9,28.061649,86.891189
278,In the sun,N,0.678,1002.8,1480.0,70.0,1550.0,6204.5,6192.5,5189.7,1516.3,28.620979,84.75399
279,Kanjirowa North,S,0.667,1000.4,1500.0,30.0,1530.0,6109.7,6118.9,5118.6,1087.8,29.387551,82.61511
280,Praqpa Kangri,SE,0.625,1000.3,1600.0,1150.0,2750.0,6941.9,6519.3,5519.0,1482.0,35.817516,76.449452
281,Koser Gunge,SW,0.622,1007.6,1620.0,1270.0,2890.0,5577.5,5280.4,4272.9,1365.6,35.627315,75.626472
282,Kardachangri,NE,0.62,1004.0,1620.0,50.0,1670.0,7006.8,6999.2,5995.3,1068.8,28.119742,86.999674
283,NJ9842,E,0.597,1003.0,1680.0,260.0,1940.0,6222.0,6173.1,5170.1,1056.8,35.023907,77.017874
284,Baltoro Kangri,SW,0.576,1002.0,1740.0,290.0,2030.0,7162.9,7088.8,6086.8,1290.0,35.639519,76.655293
285,Gyong Kangri,NW,0.553,1001.6,1810.0,0.0,1810.0,6136.0,6146.4,5144.8,1112.9,35.142256,77.059267
286,Karze,S,0.553,1000.8,1810.0,0.0,1810.0,6449.8,6446.2,5445.4,1120.7,28.024147,87.00429
287,Mungalig Sar,SE,0.55,1001.1,1820.0,710.0,2530.0,5999.8,5913.8,4912.7,1134.9,36.46276,75.702731
288,Lixin,SW,0.532,1000.5,1880.0,80.0,1960.0,6890.5,6875.2,5874.7,1324.5,28.10464,86.910864
289,Porong Ri,NE,0.515,1008.8,1960.0,310.0,2270.0,7279.8,7177.0,6168.2,1280.0,28.397678,85.729234
290,Tongqiang,SE,0.508,1001.1,1970.0,990.0,2960.0,6778.3,6478.9,5477.8,1300.9,28.067824,86.840029
291,Senup,NE,0.506,1011.3,2000.0,690.0,2690.0,6159.1,5780.0,4768.7,1426.6,27.876173,87.791003
292,Marble Peak,E,0.504,1008.8,2000.0,0.0,2000.0,5693.6,5703.4,4694.6,214.0,35.775,76.501362
293,Nupchu Peak,NW,0.487,1008.6,2070.0,830.0,2900.0,5947.2,5831.6,4823.0,1198.4,27.823307,87.925716
294,Island Peak,S,0.481,1000.9,2080.0,420.0,2500.0,6016.0,6049.8,5048.9,997.7,27.911952,86.93763
295,Unnamed Peak,SW,0.457,1000.1,2190.0,730.0,2920.0,5618.2,5351.6,4351.5,1293.3,36.007617,75.477755
296,Crane,NW,0.447,1000.3,2240.0,20.0,2260.0,6311.4,6310.5,5310.2,1046.3,35.175086,77.078147
297,Ḍrāgmorpā,E,0.423,1001.3,2370.0,150.0,2520.0,6067.6,6021.5,5020.2,1057.4,28.3256,85.677764
298,Shuguang,N,0.407,1004.4,2470.0,190.0,2660.0,6531.3,6467.3,5462.9,636.0,28.122703,86.8265
299,Kardapu,E,0.385,1004.0,2610.0,140.0,2750.0,7196.9,7138.8,6134.8,1120.6,28.06369,86.99197
300,Purian Sar,E,0.384,1006.3,2620.0,250.0,2870.0,6063.3,5961.6,4955.3,1172.7,36.466712,74.118943
301,Koser Gunge,N,0.367,1006.0,2740.0,180.0,2920.0,5577.5,5580.3,4574.3,1047.3,35.654497,75.64273
302,Dongbar,NE,0.353,1008.9,2860.0,130.0,2990.0,5821.4,5821.3,4812.4,441.1,35.822226,75.887379
